	facts
511	I love hockey, I studied business as my major, My bestfriend is from out of town, I ve flown out of the country, I despise sweet potatoes, I am a weightlifter, I love the all american rejects, I have three great danes
512	I love hockey, I have flown out of the country, I have a younger sibling, My befriend is from out of town, I studied business as my major, I have no technological skills, I am stuck in the past due to remoteness, I am a savage, I work for the discovery channel creating videos, I love the outdoors
513	I love hockey, I have flown out of the country, I studied business as my major, My befriend is from out of town, My favorite hobby is reading, I was born in france and moved to canada, I am a digital artist, My husband is an author and we have twins together, My favorite author is stephen king
514	I love hockey, I prefer texting over phone calls, My mother looks after my grandmother, I sleep 8 hours, I use the computer all day, My parents live across the street from me, I am in grad school, I work in a coffee shop, I love to read true crime books, My favorite drink is caramel cappuccino
515	I love horses, I collect seashells, I am a yoga instructor, I have two chiuahuahs, I have a son, I enjoy eating vegetarian food, I listen to classic rock, I go to a local college, I watch basketball, I work at a smoothie shop
516	I love my dog, I like baking, Wedding cakes are my specialty, I enjoy walking around the park, I haven t been on a date since high school, I have made over 90 , 000 on trifecta bets alone this year, I am a professional horse racing handicapper, I am trying to open my own teaching program for horse racing, I hope one day to own a stable of at least 10 race horses
517	I love my dog, I like baking, Wedding cakes are my specialty, I enjoy walking around the park, I go to the theater to watch plays, I like to make short films, My mother is a well known celebrity, I am a civil war reenactment participant, I have been on the tv news six times
518	I love my dog, I enjoy walking around the park, Wedding cakes are my specialty, I like baking, Nachos are my favorite food, I should beverage been born a prince, I play d and d, I hate talking to people, I believe dragons are real
519	I love my dog, I go to the theater to watch plays, I like baking, I enjoy walking around the park, Wedding cakes are my specialty, I work as a lifeguard at a beach, I am a breath of fresh air, I like spreading laughter and love everywhere i go, I listen to katie perry while in the shower, I drive a yellow convertible in the rain
520	I love my job, I love all animals, I am a vegan, I used to work as an actress, My favorite music is country, Playing quake on slackware linux makes me happy, I have three dogs and two cats, I live in chicago, I like to use a lot of exclamation marks when i type, Both my moms tell me they love me when i call them
521	I love pandas, I am a vegetarian, I love to surf, I am starting a new juicing bar, My favorite thing to do is to read books on the beach, My father was a famous actor, I do not like acting, I have 3 ferrari cars in my garage, I have 3 ex wives, I do not like kids
522	I love sharks, I love to dance, I read tons of books, I don t eat meat, I larp on the weekends in the forest, In reality i m 32 and live at home with my mother, I could move out , but she doesn t want me to, There i m a general of an orcish army, I miss my dad
523	I love sharks, I do not eat meat, I love to dance, I am witty, I think about food a lot, I do not like when people get too close to me, I have a shopping addiction, I do not like being asked a lot of questions, I love the forest
524	I love sharks, I read tons of books, I don t eat meat, I love to dance, I am witty, I wear contacts, I work as a janitor, I love to drink whiskey, I love the outdoors
525	I love soccer, I have 3 brothers, I work for nike as an accountant, I like to invest in the stock market, I want to move to london when i get older, I love to binge watch shows on streaming services, My favorite thing to eat is a burrito, I like to hike and spend time outdoors, I am close to my mother , but not to my father
526	I love soccer, I have 3 brothers, I want to move to london when i get older, I like to invest in the stock market, I go visit them sometimes, I work at a grocery store, She likes to grow plants in her garden, My best friend lives in a big city, My mother is a social worker for the school system
527	I love soccer, I work for nike as an accountant, I like to invest in the stock market, I have 3 brothers, I want to move to london when i get older, My favorite musician is bruno mars, I am an accountant, I have 2 dogs, I drive a red car, I enjoy running
528	I love soccer, I want to move to london when i get older, I like to invest in the stock market, I work for nike as an accountant, My name is omar, I am the youngest of three brothers, I live on a small farm in ohio, I play guitar in the local band
